CCAA,2018,2019,2020,2021,2022,2023
Andalucía,1.784,1.928,1.527,1.333,1.439,1.441
Aragón,1.784,1.931,1.525,1.31,1.426,1.404
Asturias,1.825,1.959,1.549,1.335,1.467,1.451
Canarias,1.401,1.551,1.19,1.08,1.136,1.134
Cantabria,1.821,1.962,1.535,1.34,1.458,1.397
Castilla - La Mancha,1.787,1.931,1.529,1.324,1.433,1.43
Castilla y León,1.789,1.947,1.53,1.324,1.441,1.38
Cataluña,1.796,1.943,1.552,1.345,1.453,1.452
Ceuta,1.353,1.471,1.148,0.953,1.058,1.072
Extremadura,1.79,1.935,1.524,1.316,1.428,1.414
Galicia,1.785,1.95,1.54,1.332,1.446,1.435
Illes Balears,1.857,1.994,1.61,1.396,1.498,1.493
La Rioja,1.803,1.953,1.544,1.333,1.441,1.39
Madrid,1.809,1.953,1.578,1.367,1.467,1.419
Melilla,0,0,0,0,0,0
Murcia,1.756,1.912,1.501,1.299,1.417,1.426
Navarra,1.817,1.946,1.53,1.329,1.434,1.381
País Vasco,1.825,1.967,1.576,1.36,1.469,1.407
Valencia,1.811,1.946,1.55,1.345,1.452,1.455